,City,Longitude,Latitude,Temperature,Max_Temperature,Humidity,Clouds,Wind Speed,Country,Datetime
259,riyadh,46.7219,24.6877,70.934,71.6,28,0,1.54,SA,1619746956
260,tolosa,1.4437,43.6043,49.56800000000008,50.0,93,90,4.63,FR,1619747183
261,richards bay,32.0377,-28.783,71.56400000000002,71.56400000000002,82,100,5.86,ZA,1619747184
262,mitchell,-98.0298,43.7094,63.53600000000007,68.0,28,1,3.6,US,1619746988
263,pacific grove,-121.9166,36.6177,56.73200000000001,60.8,63,20,2.06,US,1619747186
264,tiksi,128.8694,71.6872,32.07200000000004,32.07200000000004,83,78,2.26,RU,1619747186
265,luderitz,15.1594,-26.6481,55.79600000000005,55.79600000000005,77,0,9.6,,1619747028
266,sao filipe,-24.4956,14.8961,72.98600000000008,72.98600000000008,75,96,2.81,CV,1619746908
267,aleksandrov gay,48.5704,50.147,44.6,44.6,57,2,1.43,RU,1619747188
268,nantucket,-70.0995,41.2835,50.95400000000005,51.8,93,90,3.09,US,1619747189
269,soyo,12.3689,-6.1349,78.908,78.908,90,97,2.31,AO,1619747189
270,batagay-alyta,130.4114,67.8006,27.283999999999992,27.283999999999992,76,24,1.35,RU,1619747090
271,sycow,17.7198,51.3081,48.29000000000002,50.0,81,0,2.06,PL,1619747190
272,buin,-70.75,-33.7333,60.29600000000005,64.99400000000007,82,90,3.09,CL,1619747191
273,bairiki,172.9752,1.3292,87.80000000000001,87.80000000000001,70,75,4.63,KI,1619747192
274,santa cruz,-63.1667,-17.8,66.2,66.2,68,0,2.06,BO,1619746975
275,imeni poliny osipenko,136.4853,52.4201,32.48600000000007,32.48600000000007,96,100,6.15,RU,1619747193
276,grand gaube,57.6608,-20.0064,73.99400000000007,73.99400000000007,91,24,2.68,MU,1619747004
277,constitucion,-72.4167,-35.3333,54.78800000000005,54.78800000000005,90,52,1.2,CL,1619746966
278,pevek,170.3133,69.7008,21.614000000000033,21.614000000000033,85,100,3.82,RU,1619746966
279,rongcheng,117.8517,30.634,80.15,80.15,50,0,4.44,CN,1619747195
280,trairi,-39.2689,-3.2778,75.7760000000001,75.7760000000001,88,75,2.34,BR,1619747190
281,lebanon,-86.2911,36.2081,65.12000000000006,66.2,94,75,2.35,US,1619747109
282,nong khai,103.0833,17.9167,78.99800000000002,78.99800000000002,99,100,1.34,TH,1619747197
283,jennings,-90.2604,38.7192,62.54600000000005,64.4,52,1,3.09,US,1619747197
284,meulaboh,96.1285,4.1363,80.7260000000001,80.7260000000001,76,100,1.78,ID,1619747198
285,gamba,10.0,-2.65,77.39600000000007,77.39600000000007,90,100,1.62,GA,1619747199
286,santa maria del oro,-105.3667,25.9333,65.73200000000003,65.73200000000003,23,0,3.8,MX,1619747199
287,maragogi,-35.2225,-9.0122,77.72000000000006,77.72000000000006,83,81,3.68,BR,1619747200
288,avera,-82.5271,33.194,71.97800000000007,73.99400000000007,69,100,0.45,US,1619747011
289,oyama,139.8,36.3,72.89600000000007,75.0020000000001,33,20,4.12,JP,1619747201
290,arcata,-124.0828,40.8665,56.33600000000007,57.992,82,1,3.6,US,1619747202
